year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2003,Mercedes-Benz,E-Class,E320,Sedan,automatic,wdbuf65j93a312948,ca,42,66058,gray,black,honda of pasadena,5925,8100,Tue Mar 03 2015 04:30:00 GMT-0800 (PST)
2014,Kia,Sorento,LX,SUV,automatic,5xyktca61eg446423,tn,43,38073,white,black,avis corporation,17050,17900,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2013,Nissan,Maxima,3.5 S,Sedan,automatic,1n4aa5ap1dc827901,ga,36,59022,burgundy,black,the hertz corporation,13650,14400,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
2012,Volkswagen,CC,Sport,Sedan,automatic,wvwmn7an9ce550410,fl,3,35350,black,black,vw credit,13500,13200,Tue Feb 10 2015 04:15:00 GMT-0800 (PST)
2004,Buick,LeSabre,Limited,Sedan,automatic,1g4hr54k64u193315,tx,35,108343,red,tan,automax,3675,4600,Wed Feb 18 2015 02:05:00 GMT-0800 (PST)
2006,Honda,Civic,LX,sedan,automatic,1hgfa16526l018685,nj,24,165127,red,beige,nextgear capital,3975,3800,Tue Jun 02 2015 05:45:00 GMT-0700 (PDT)
2000,Honda,Accord,EX V6,Sedan,automatic,1hgcg1658ya088241,nc,2,197619,black,gray,westlake financial services,1650,2400,Mon Feb 23 2015 01:00:00 GMT-0800 (PST)
2014,Jeep,Grand Cherokee,Limited,SUV,automatic,1c4rjebgxec403971,tx,48,17903,black,black,enterprise vehicle exchange/dfw airport,29300,29800,Wed Feb 04 2015 02:15:00 GMT-0800 (PST)
2006,Toyota,Matrix,Base,Wagon,,2t1kr32e36c617710,tx,23,122064,silver,gray,dt credit corporation,4225,4800,Tue Feb 03 2015 03:00:00 GMT-0800 (PST)
2008,GMC,Acadia,SLT-1,SUV,automatic,1gkev23708j225475,nv,38,71108,silver,black,kapitolia auto llc,12950,17500,Fri Mar 06 2015 04:00:00 GMT-0800 (PST)
2012,land rover,rr,s/c sc,,automatic,salmf1e49ca375264,pa,47,42140,blue,beige,burns buick gmc inc,55900,50400,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
2013,Nissan,Murano,S,SUV,automatic,jn8az1mw5dw322400,tx,44,8739,white,black,nissan motor acceptance corporation,23000,20800,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2014,Mazda,Mazda2,Sport,Hatchback,automatic,jm1de1ky0e0176596,pr,38,7445,gray,black,oriental bank,11450,12500,Thu Jan 22 2015 03:30:00 GMT-0800 (PST)
2014,Kia,Sportage,LX,SUV,automatic,kndpb3ac4e7559259,co,5,12934,gray,gray,kia motors america  inc,16350,16500,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
2014,Lincoln,MKS,Base,Sedan,automatic,1lnhl9dk5eg609394,il,47,4495,blue,black,ford motor credit company,29800,27800,Tue Feb 24 2015 03:00:00 GMT-0800 (PST)
2007,Honda,Civic,LX,Sedan,automatic,1hgfa16527l082727,nc,28,120928,blue,gray,meridian remarketing,5075,6400,Mon Feb 09 2015 01:30:00 GMT-0800 (PST)
2013,Chevrolet,Cruze,LS,Sedan,manual,1g1pb5shxd7122752,il,3,13032,black,gray,ally,11400,10900,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
2014,Toyota,Corolla,S,sedan,automatic,5yfburhe4ep133732,ny,1,25432,white,black,hertz damaged liquidation,14400,9500,Thu May 28 2015 05:15:00 GMT-0700 (PDT)
2006,Volkswagen,Jetta,2.5 PZEV,Sedan,automatic,3vwdg71k66m727362,ca,19,84487,gray,black,dch toyota of torrance,4200,3600,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
2013,Chevrolet,Sonic,LT,sedan,automatic,1g1jc5sh4d4238226,az,37,35580,white,gray,first technology credit union,8500,9300,Thu Jun 11 2015 05:00:00 GMT-0700 (PDT)
2012,Nissan,Sentra,2,Sedan,automatic,3n1ab6ap9cl750276,ca,29,77706,black,gray,skyhigh remarketing inc,8100,7300,Wed Jan 28 2015 04:15:00 GMT-0800 (PST)
2004,Jeep,Grand Cherokee,Laredo,SUV,,1j4gx48s44c252596,fl,36,138570,white,gray,courtesy nissan of tampa,2950,3500,Thu Jan 08 2015 16:30:00 GMT-0800 (PST)
2014,Kia,Optima,LX,Sedan,automatic,5xxgm4a70eg308538,co,39,18826,red,beige,kia motors america  inc,15300,15600,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
2013,Ford,Explorer,Limited,SUV,automatic,1fm5k8f86dgc21395,mo,45,35320,white,gray,ars/avis budget group,29700,29000,Tue Feb 17 2015 03:00:00 GMT-0800 (PST)
2002,Chevrolet,TrailBlazer,LS,SUV,automatic,1gndt13s322364374,pa,25,156475,white,tan,credit acceptance corp/vrs/southfield,2025,1500,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2014,GMC,Savana Cargo,2500,Van,automatic,1gtw7fca9e1911443,mo,44,6459,white,gray,u-haul technical center,22200,22600,Tue Feb 03 2015 03:00:00 GMT-0800 (PST)
2002,Chevrolet,Silverado 1500,LS,Extended Cab,automatic,2gcec19v821362456,fl,28,134117,black,gray,nextgear capital,3700,5200,Thu Feb 12 2015 05:25:00 GMT-0800 (PST)
2009,Ford,F-150,XLT,SuperCrew,automatic,1ftpw14v09fa19280,pa,31,102144,black,beige,liberty ford,14550,16500,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
2012,Chrysler,Town and Country,Touring-L,Minivan,automatic,2c4rc1cg3cr182008,az,29,32811,black,black,wells fargo dealer services,16000,18300,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
2005,Nissan,Murano,SL,SUV,automatic,jn8az08w45w429086,il,19,130303,silver,black,nationwide acceptance,5275,3900,Thu Dec 18 2014 14:00:00 GMT-0800 (PST)
2013,Nissan,Sentra,SV,Sedan,automatic,3n1ab7apxdl659038,ga,21,54588,blue,beige,gwinnett place honda,9950,9600,Tue Mar 03 2015 05:00:00 GMT-0800 (PST)
2013,Chevrolet,Tahoe,LTZ,suv,automatic,1gnskce07dr295670,ca,41,59896,silver,black,the hertz corporation,30000,31500,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
2008,Mitsubishi,Lancer,ES,sedan,automatic,ja3au26u48u033374,nj,19,140381,black,black,united auto credit/newport beach,2625,2900,Wed Jun 10 2015 02:30:00 GMT-0700 (PDT)
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap7dn516248,tn,26,41982,—,black,avis corporation,12800,12400,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
2008,Chevrolet,Malibu,LT,Sedan,automatic,1g1zj577184309607,ca,24,127240,gray,black,bob baker jeep,5650,4300,Wed Feb 04 2015 04:15:00 GMT-0800 (PST)
2009,Volkswagen,Jetta,SportWagen S PZEV,wagon,automatic,3vwmz71k89m274392,wa,29,123525,gray,gray,wells fargo dealer services,3825,4200,Wed Jun 03 2015 05:45:00 GMT-0700 (PDT)
2014,Chevrolet,Express Cargo,2500,Van,automatic,1gcwgffa1e1181460,fl,42,12855,white,gray,enterprise veh exchange/rental,21100,21600,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
2007,Mercedes-Benz,CLS-Class,CLS550,sedan,,wdddj72x67a105783,pa,43,52763,black,red,adcock brothers inc,18700,23750,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
2014,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk5eu791479,fl,48,17923,red,beige,toyota motor sales usa inc/program,15400,15300,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
2010,Dodge,Ram Pickup 1500,Laramie,crew cab,,1d7rv1ct4as122831,ab,47,138474,red,gold,grove dodge chrysler jeep,19250,20250,Thu May 28 2015 04:30:00 GMT-0700 (PDT)
2008,Dodge,Ram Pickup 1500,SLT,Quad Cab,automatic,1d7ha18n68j178108,tx,22,107805,gold,gray,lawler motor sports inc,10450,10250,Wed Feb 25 2015 02:20:00 GMT-0800 (PST)
2004,BMW,5 Series,545i,Sedan,automatic,wbanb33594b110478,nc,21,121840,black,tan,mercedes-benz of durham,5575,5200,Mon Feb 23 2015 01:30:00 GMT-0800 (PST)
2014,Ford,F-150,XLT,SuperCrew,automatic,1ftfw1et2efa50002,wa,48,17352,white,gray,xcar inc,27600,27000,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
2012,Lexus,IS 250,Base,Sedan,automatic,jthbf5c24c5172295,fl,43,11355,blue,beige,lexus financial services,23300,21700,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
2010,Buick,Lucerne,CXL,Sedan,automatic,1g4hc5em5au100507,tn,35,92606,black,gray,sullivan auto group llc,9175,9800,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
2012,Nissan,Versa,1.8 S,Hatchback,automatic,3n1bc1cp8ck812628,mo,36,54769,blue,black,the hertz corporation,7525,7700,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
2014,Mazda,CX-5,Touring,SUV,,jm3ke4cy2e0381979,pa,41,29168,white,black,avis rent a car/barbush rentals,20000,19900,Fri Mar 06 2015 01:00:00 GMT-0800 (PST)
2005,,,,,automatic,1b3el46t65n604492,fl,19,67410,blue,gray,hertz remarketing,2025,1400,Thu Feb 05 2015 01:35:00 GMT-0800 (PST)
2012,Jeep,Grand Cherokee,Limited,SUV,automatic,1c4rjfbt5cc206125,mi,49,39632,silver,tan,kevins marysville auto sales inc,27100,28100,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
2006,Jeep,Liberty,Limited,SUV,automatic,1j4gk58k56w239331,tx,36,73700,silver,gray,tdaf remarketing,7050,8300,Wed Feb 18 2015 02:15:00 GMT-0800 (PST)
2013,Chevrolet,Camaro,LT,Coupe,automatic,2g1fb1e32d9157966,pa,5,5860,red,black,gateway one lending & finance,21800,21000,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2012,Infiniti,G Convertible,G37,G Convertible,automatic,jn1cv6fe6cm201602,fl,36,27063,black,beige,nissan infiniti lt,25400,25200,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
2012,Kia,Optima,LX,Sedan,automatic,5xxgm4a79cg074462,nj,43,49107,silver,beige,kia motors finance,11000,11100,Wed Jun 10 2015 02:30:00 GMT-0700 (PDT)
2010,Buick,Enclave,CXL1,SUV,automatic,5galrbed2aj173199,tn,19,113540,gold,tan,wells fargo dealer services,12100,7500,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
2008,Honda,Odyssey,EX,Minivan,automatic,5fnrl38458b032592,sc,3,182693,white,tan,hendrick toyota scion north charleston,4750,4400,Tue Jan 06 2015 02:00:00 GMT-0800 (PST)
2000,Honda,Insight,Base,Hatchback,manual,jhmze1354yt005149,sc,21,192290,silver,black,hendrick toyota scion north charleston,1475,1300,Tue May 19 2015 03:00:00 GMT-0700 (PDT)
2004,Ford,F-150,XL,Regular Cab,,1ftrf14w14nc47188,va,19,106356,silver,gray,az exchange llc,4275,4000,Thu Mar 05 2015 01:35:00 GMT-0800 (PST)
2010,Mercedes-Benz,C-Class,C300 Sport 4MATIC,Sedan,automatic,wddgf8bbxar104234,va,19,66079,black,black,gm financial,14350,11000,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
2010,Dodge,Grand Caravan,SXT,Minivan,automatic,2d4rn5d16ar155090,tx,34,98107,white,gray,dt credit corporation,7125,6900,Wed Jun 10 2015 03:00:00 GMT-0700 (PDT)
2012,MINI,Cooper Countryman,S ALL4,Wagon,manual,wmwzc5c53cwm12799,ca,4,36895,gray,—,bmw mini financial services,20700,21250,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2005,Chevrolet,TrailBlazer EXT,LT,SUV,automatic,1gnes16s356196428,ne,19,198644,silver,gray,select remarketing group llc/midwest title loans,2200,1050,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2014,Ford,Focus,SE,Hatchback,automatic,1fadp3k21el117501,tx,44,26979,white,black,coastal bend rent a car inc,11700,11300,Thu May 28 2015 03:30:00 GMT-0700 (PDT)
2012,Honda,Pilot,EX,SUV,automatic,5fnyf4h43cb009653,ga,34,26861,black,gray,ahfc/honda lease trust/hvt  inc. eot,21500,20700,Tue Dec 30 2014 13:00:00 GMT-0800 (PST)
2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap8cm627395,ca,43,27642,gray,black,nissan infiniti lt,21200,22000,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
2013,Toyota,Corolla,LE,Sedan,automatic,2t1bu4ee4dc961186,oh,42,62397,red,gray,byers car rentals llc,10550,9500,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2000,Ford,Explorer,Eddie Bauer,SUV,automatic,1fmzu64e0yzc61815,fl,26,156913,green,beige,autonation toyota fort myers,925,1000,Tue Feb 24 2015 10:00:00 GMT-0800 (PST)
2014,Honda,CR-V,EX-L,suv,,5j6rm4h72el092605,pa,44,7496,black,black,jones dealerships inc,25100,25800,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
2008,Ford,Explorer,XLT,SUV,,1fmeu63e18ub14142,fl,27,133519,blue,gray,tmt auto wholesale inc,4850,5200,Fri Feb 27 2015 01:30:00 GMT-0800 (PST)
2013,Ford,Escape,SE,SUV,automatic,1fmcu0gx7dud36324,tn,47,19178,red,gray,ford motor credit company llc,16900,17500,Wed Mar 11 2015 03:00:00 GMT-0700 (PDT)
2014,Ford,Fusion,SE,Sedan,automatic,3fa6p0h74er151539,fl,37,35133,white,black,enterprise veh exchange/rental,13100,14700,Tue May 26 2015 02:15:00 GMT-0700 (PDT)
2014,Ford,F-150,XL,regular cab,automatic,1ftnf1cf6eke27351,in,48,18328,white,gray,u-haul,16950,17000,Thu Jun 18 2015 03:00:00 GMT-0700 (PDT)
2013,Hyundai,Elantra,Limited,Sedan,automatic,kmhdh4ae3du564943,pa,47,47408,blue,tan,fairfield hyundai,12650,12600,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
2014,Hyundai,Tucson,GLS,SUV,automatic,km8jt3af5eu851383,tx,46,19298,silver,brown,tdaf remarketing,16900,16500,Wed May 27 2015 03:15:00 GMT-0700 (PDT)
2013,Chevrolet,Impala,LT Fleet,Sedan,automatic,2g1wg5e37d1227632,ca,21,52027,white,black,the hertz corporation,9275,7900,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
2013,GMC,Sierra 1500,Work Truck,Regular Cab,automatic,1gtn1tex6dz370199,mo,45,10442,silver,black,regional acceptance corporation / winterville,17100,15700,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
2003,Volkswagen,New Beetle,GLS,Hatchback,manual,3vwck21c73m429162,fl,19,130177,yellow,gray,autonation honda clearwater,1900,1200,Tue Dec 30 2014 12:15:00 GMT-0800 (PST)
2009,Ford,Escape,XLS,suv,automatic,1fmcu02799ka48573,pr,29,222378,white,gray,element vehicle management services llc,4375,4000,Thu Jun 18 2015 06:00:00 GMT-0700 (PDT)
2013,Hyundai,Accent,GLS,Sedan,automatic,kmhct4ae9du539779,pr,48,14180,silver,black,oriental bank,10300,11400,Thu Feb 19 2015 03:30:00 GMT-0800 (PST)
2012,Mercedes-Benz,C-Class,C300 Luxury 4MATIC,Sedan,,wddgf8bb5cf864060,tn,2,24316,—,beige,mercedes-benz financial services,21600,19750,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
2007,Toyota,FJ Cruiser,Base,suv,automatic,jtebu11f070048612,sc,38,201261,yellow,black,pee dee auto buyers,10600,11100,Thu May 28 2015 03:00:00 GMT-0700 (PDT)
2006,BMW,3 Series,325i,Sedan,automatic,wbavb13556kr62138,pa,35,193475,blue,beige,h kulp inc,3475,3900,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
2011,Mercedes-Benz,R-Class,R350 4MATIC,Wagon,automatic,4jgcb6fe7ba118990,tx,43,41014,silver,gray,credit union of texas,27900,23900,Tue Jan 27 2015 02:30:00 GMT-0800 (PST)
2005,Honda,Odyssey,EX-L,minivan,automatic,5fnrl38755b037524,fl,19,147663,silver,gray,westlake financial services,5150,3400,Thu Jun 11 2015 08:00:00 GMT-0700 (PDT)
2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv6cw202670,fl,35,63865,gray,gray,tdaf remarketing,13650,13600,Tue Feb 10 2015 01:00:00 GMT-0800 (PST)
2011,Nissan,Murano,SL,suv,automatic,jn8az1mw8bw179360,ga,29,51295,white,beige,nissan-infiniti lt,18150,16400,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
2013,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb4d7227960,ga,46,43670,white,black,enterprise veh exchange/rental,10550,10200,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
2014,Nissan,Sentra,SV,Sedan,automatic,3n1ab7ap1ey247708,tn,4,9,gray,black,nissan north america inc.,13800,12200,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2013,Nissan,Sentra,SR,sedan,automatic,3n1ab7ap7dl723519,tx,46,15435,gray,black,nissan-infiniti lt,12500,12600,Wed Jun 10 2015 17:00:00 GMT-0700 (PDT)
2012,Nissan,Altima,2.5 S,sedan,automatic,1n4al2apxcn413527,nj,41,13944,white,black,nissan-infiniti lt,13000,12700,Wed Jun 10 2015 02:30:00 GMT-0700 (PDT)
2011,Ford,Explorer,XLT,suv,automatic,1fmhk7d82bga28426,nv,34,39847,blue,beige,findlay kia,19950,18000,Fri Jun 05 2015 05:00:00 GMT-0700 (PDT)
2014,Ford,Fusion,SE,Sedan,automatic,1fa6p0h75e5392206,mi,45,4418,silver,black,ford motor credit company llc,16500,16000,Tue Dec 23 2014 09:00:00 GMT-0800 (PST)
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap8dn562915,ne,42,45658,silver,black,the hertz corporation,11550,12000,Thu Jun 04 2015 05:00:00 GMT-0700 (PDT)
2010,Dodge,Ram Pickup 1500,SLT,Crew Cab,automatic,1d7rb1gt1as232576,tx,31,78676,white,tan,santander consumer,14800,15500,Wed Feb 04 2015 02:00:00 GMT-0800 (PST)
2008,Volkswagen,Passat,Komfort,Sedan,automatic,wvwak73cx8p040084,ca,43,108262,gray,black,melody toyota,5150,4900,Wed Jan 28 2015 04:30:00 GMT-0800 (PST)
2013,Dodge,Dart,SE,Sedan,automatic,1c3cdfaa9dd344764,az,42,13467,red,black,gm financial,10650,12100,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
2013,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4ae1du715925,fl,33,40126,gray,gray,ez rent a car inc,11050,10600,Tue Feb 17 2015 01:00:00 GMT-0800 (PST)
2012,Toyota,Prius v,Three,wagon,automatic,jtdzn3eu0c3131809,ca,25,26378,red,beige,dublin toyota,16800,15000,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
2014,Toyota,Sienna,L 7-Passenger,Minivan,automatic,5tdzk3dc8es406667,mo,33,27780,gray,gray,c & j rental,17500,17100,Tue Jan 20 2015 02:30:00 GMT-0800 (PST)
2006,Chrysler,Crossfire,Limited,convertible,,1c3an65l06x065544,tx,29,92851,black,burgundy,fairway ford henderson,6500,3500,Wed Jun 17 2015 03:00:00 GMT-0700 (PDT)
2012,Nissan,Altima,3.5 SR,Sedan,automatic,1n4bl2ap8cn504994,mn,4,36110,black,black,enterprise fleet management exchange  inc.,13500,14200,Thu Feb 05 2015 02:45:00 GMT-0800 (PST)
2012,Nissan,Versa,1.6 S,sedan,,3n1cn7ap6cl943930,pr,28,14977,beige,beige,oriental bank,8100,7800,Thu Jun 11 2015 06:00:00 GMT-0700 (PDT)
2014,Jeep,Grand Cherokee,Limited,SUV,,1c4rjfbg1ec516021,mo,5,16791,silver,black,enterprise veh exchange/rental,31800,31100,Tue Jan 20 2015 03:00:00 GMT-0800 (PST)
2012,Ford,F-150,Platinum,supercrew,automatic,1ftfw1et4cfa06631,tn,37,63650,—,brown,midtown motors,30200,27900,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
2004,Volkswagen,Jetta,GL,sedan,automatic,3vwrk69m24m139329,ga,25,89226,blue,gray,hennessy mazda buick gmc,2400,2200,Tue Jun 02 2015 05:30:00 GMT-0700 (PDT)
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3apxdc284661,nj,38,39273,white,black,enterprise veh exchange/rental,13000,11100,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
2012,Suzuki,SX4,LE Popular Package,sedan,automatic,js2yc5a36c6303016,pr,34,41527,silver,blue,oriental bank,6300,6800,Thu Jun 11 2015 05:30:00 GMT-0700 (PDT)
2001,Volkswagen,Passat,GLS 1.8T,Sedan,manual,wvwpd63b41p271803,pa,2,184951,green,beige,axcess financial,725,300,Tue Jan 13 2015 13:01:00 GMT-0800 (PST)
2011,Hyundai,Sonata,SE,sedan,automatic,5npec4ac6bh203932,fl,2,57102,black,black,zimmerman auto brokers inc,11000,11000,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
2007,Acura,TL,Base,Sedan,automatic,19uua66277a001503,ca,39,147937,gray,tan,old 50 auto & marine llc,6425,8600,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
2004,Toyota,Camry Solara,SE,Coupe,automatic,4t1ce38p84u811721,ca,2,165739,black,black,veros credit,3250,1700,Wed Feb 04 2015 03:00:00 GMT-0800 (PST)
2014,Ford,Edge,SEL,SUV,automatic,2fmdk4jc5eba75693,tn,49,23118,gray,gray,avis budget group,22900,22500,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2006,Nissan,Maxima,3.5 SE,Sedan,automatic,1n4ba41e66c809510,tn,2,141062,—,black,consolidated asset recovery systems  inc.,3650,650,Tue Feb 03 2015 02:00:00 GMT-0800 (PST)
2005,BMW,X5,4.4i,SUV,automatic,5uxfb53575lv12710,pa,43,74808,gray,brown,bobby rahal bmw of south hills,8800,9400,Wed Feb 18 2015 01:00:00 GMT-0800 (PST)
2011,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap0bc859624,nj,21,60270,black,black,nissan-infiniti lt,15250,13400,Wed Jan 07 2015 09:30:00 GMT-0800 (PST)
2014,Dodge,Challenger,SXT,Coupe,automatic,2c3cdyag7eh111597,va,36,20162,blue,black,gm financial,19200,21300,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
2014,Kia,Soul,+,Wagon,automatic,kndjp3a5xe7073824,ga,37,24210,blue,black,kia motors america  inc,13550,13500,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
2014,Ford,Edge,Limited,SUV,automatic,2fmdk4kc7eba83826,ny,48,21296,silver,black,ars/enterprise,25500,26500,Wed Jun 03 2015 02:20:00 GMT-0700 (PDT)
2014,Nissan,Versa,1.6 SV,Sedan,,3n1cn7ap2el805174,pr,29,69235,white,black,aaa car rental inc,8175,9000,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2009,Volkswagen,Jetta,TDI,Sedan,,3vwal71k49m097585,pa,45,68013,white,black,highline motors of westchester inc,9725,10600,Fri Jan 16 2015 01:15:00 GMT-0800 (PST)
2010,Ford,Transit Connect,Cargo Van XLT,Minivan,automatic,nm0ls7bn4at039017,tx,35,122918,white,gray,ge fleet services for itself/servicer,7675,8900,Thu Feb 19 2015 03:00:00 GMT-0800 (PST)
2011,Infiniti,G Convertible,G37,G Convertible,automatic,jn1cv6fe0bm953861,fl,33,17593,white,beige,nissan infiniti lt,26500,24200,Thu Jan 15 2015 01:15:00 GMT-0800 (PST)
2014,Ford,F-150,FX4,SuperCrew,automatic,1ftfw1ef3efb77903,ga,46,13067,red,black,ars/thrifty car rental/greer,34300,34800,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
2014,Jeep,Wrangler,Unlimited Sport,SUV,automatic,1c4bjwdg5el216576,fl,5,13687,blue,black,tdaf remarketing,27100,31800,Tue Mar 03 2015 01:00:00 GMT-0800 (PST)
2008,Volkswagen,Passat,Turbo,Sedan,automatic,wvwjk73c88p026801,md,25,111463,blue,black,prestige financial services,4050,3100,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
2008,Nissan,Sentra,2,Sedan,automatic,3n1ab61e18l713924,ma,27,104898,silver,gray,mansfield gas & service,4300,4400,Tue Jan 13 2015 10:00:00 GMT-0800 (PST)
2012,Mercedes-Benz,GLK-Class,GLK350,suv,automatic,wdcgg5gb0cf818693,tx,36,49447,black,black,escamilla ford inc,22800,22500,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
2006,Mercedes-Benz,R-Class,R350,Wagon,automatic,4jgcb65e66a030066,oh,47,72855,silver,gray,pauley motor car co preowned vehicles llc,8650,12600,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6arxdm351028,il,43,20155,—,black,nissan infiniti lt,23000,24400,Thu Jan 15 2015 02:00:00 GMT-0800 (PST)
2010,Dodge,Journey,SXT,SUV,automatic,3d4pg5fv7at137163,mo,24,95439,gold,beige,remktgedge / cars / carfinance capital llc,7750,2000,Tue Jan 27 2015 03:00:00 GMT-0800 (PST)
2003,Toyota,Tacoma,Base,Xtracab,automatic,5tevl52n03z271664,fl,22,170724,white,beige,autonation nissan clearwater,4925,4200,Tue Jan 27 2015 08:00:00 GMT-0800 (PST)
2013,Ford,Focus,SE,Sedan,automatic,1fadp3f24dl247264,nj,41,54302,silver,black,dollar thrifty auto group,8950,8500,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
2010,Honda,Accord,EX-L V-6,coupe,automatic,1hgcs2b86aa008719,ga,32,103283,black,black,gwinnett place honda,10800,10500,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
2010,Honda,Accord,LX,Sedan,automatic,1hgcp2f3xaa055073,ga,19,99094,green,gray,prestige financial services,8175,8200,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
2010,Lexus,IS 250,Base,Sedan,automatic,jthbf5c25a5125631,tx,35,63593,black,gray,mid city mcandrew motors,17150,16200,Thu Jan 08 2015 11:00:00 GMT-0800 (PST)
2013,Ford,Fusion,Titanium,Sedan,automatic,3fa6p0k99dr132526,mi,44,38458,white,black,ford motor credit company llc,17200,17000,Thu Jan 15 2015 01:00:00 GMT-0800 (PST)
2007,Chevrolet,Uplander,LS,Minivan,automatic,1gndv23157d123368,oh,29,138673,blue,gray,wells fargo dealer services,2675,800,Tue Jan 27 2015 05:00:00 GMT-0800 (PST)
2013,Toyota,Venza,XLE,wagon,automatic,4t3za3bb0du079742,oh,36,39352,gray,black,toyota financial services,20000,20400,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
2014,Dodge,Grand Caravan,R/T,Minivan,automatic,2c4rdgeg2er173493,ga,35,39758,gray,black,avis corporation,18000,17700,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2014,Audi,A4,2.0T Premium Plus quattro,Sedan,automatic,wauffafl2en041236,il,46,9005,black,black,mercedes benz of chicago,31800,32400,Tue Jan 27 2015 02:00:00 GMT-0800 (PST)
2011,Mazda,Mazda3,i Sport,Sedan,,jm1bl1ug5b1448440,pa,35,38059,black,black,jpmorgan chase bank n.a.,9200,8800,Fri Feb 20 2015 01:00:00 GMT-0800 (PST)
2014,Mitsubishi,Lancer,ES,Sedan,automatic,ja32u2fu2eu018694,mn,41,13424,black,black,mitsubishi north america,11500,11400,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
2007,,,,,automatic,salsk25477a116688,mi,48,132519,red,tan,kevins marysville auto sales inc,15300,12900,Thu May 21 2015 02:30:00 GMT-0700 (PDT)
2007,Audi,A8,L quattro,Sedan,automatic,waumv44e77n000538,fl,41,90782,gray,gray,s friedman enterprises inc,14100,14600,Tue Feb 17 2015 01:20:00 GMT-0800 (PST)
